Time,Wind,Visibility,Temperature,Sea Level Pressure,Rain,Year,Month
311300Z,VRB05KT,8000,33/25,Q1009,NO,2022,12
281800Z,VRB01KT,8000,29/25,Q1009,NO,2022,12
281600Z,VRB02KT,8000,32/25,Q1008,NO,2022,12
251100Z,VRB02KT,4000,33/23,Q1012,NO,2022,12
251000Z,VRB02KT,4000,32/23,Q1013,NO,2022,12
231100Z,VRB03KT,9999,32/24,Q1011,NO,2022,12
231000Z,15004KT,9999,31/24,Q1012,NO,2022,12
230900Z,VRB02KT,9999,30/24,Q1012,NO,2022,12
230800Z,13005KT,4500,28/24,Q1013,NO,2022,12
192100Z,VRB01KT,9999,26/25,Q1010,NO,2022,12
181300Z,VRB03KT,9999,33/25,Q1009,NO,2022,12
172200Z,12002KT,9999,25/25,Q1009,NO,2022,12
171500Z,VRB03KT,8000,30/25,Q1006,NO,2022,12
171100Z,VRB02KT,6000,30/24,Q1008,NO,2022,12
171000Z,VRB02KT,6000,30/24,Q1009,NO,2022,12
170900Z,VRB02KT,6000,29/23,Q1010,NO,2022,12
170800Z,00000KT,6000,27/22,Q1010,NO,2022,12
170700Z,VRB03KT,6000,25/22,Q1010,NO,2022,12
170600Z,VRB01KT,2000,24/23,Q1009,NO,2022,12
170500Z,VRB02KT,8000,24/23,Q1009,NO,2022,12
170400Z,12003KT,8000,23/22,Q1009,NO,2022,12
170300Z,VRB03KT,8000,23/22,Q1009,NO,2022,12
170200Z,12002KT,8000,23/22,Q1008,NO,2022,12
170000Z,10001KT,9999,23/22,Q1009,NO,2022,12
162300Z,21002KT,9999,23/22,Q1009,NO,2022,12
161100Z,VRB04KT,7000,30/24,Q1008,NO,2022,12
161000Z,VRB03KT,6000,30/25,Q1009,NO,2022,12
160900Z,VRB02KT,6000,29/25,Q1009,NO,2022,12
160800Z,VRB01KT,3500,28/24,Q1010,NO,2022,12
160700Z,VRB01KT,4000,26/24,Q1010,NO,2022,12
160600Z,VRB01KT,4000,24/23,Q1009,NO,2022,12
160500Z,00000KT,9999,23/23,Q1009,NO,2022,12
160400Z,06002KT,9999,24/23,Q1008,NO,2022,12
160300Z,VRB02KT,9999,24/23,Q1008,NO,2022,12
160200Z,VRB01KT,9999,23/22,Q1008,NO,2022,12
160100Z,11001KT,9999,23/23,Q1009,NO,2022,12
160000Z,11002KT,9999,23/23,Q1009,NO,2022,12
151500Z,VRB04KT,6000,24/22,Q1007,YES,2022,12
151400Z,VRB05KT,9999,32/25,Q1007,YES,2022,12
151300Z,VRB04KT,9999,32/25,Q1007,YES,2022,12
151200Z,VRB04KT,9999,33/25,Q1008,NO,2022,12
151100Z,VRB05KT,9999,32/24,Q1010,NO,2022,12
151000Z,VRB04KT,9999,31/25,Q1010,NO,2022,12
150900Z,15003KT,8000,29/26,Q1011,NO,2022,12
