date,heure,station,temperature,point_de_rosee,pression,direction_vent,vitesse_vent
2016-01-01,00:00,FKKD,26.0,25.0,101.2,000,00
2016-01-01,01:00,FKKD,26.0,25.0,101.2,110,01
2016-01-01,02:00,FKKD,26.0,25.0,101.1,000,00
2016-01-01,03:00,FKKD,26.0,25.0,101.1,000,00
2016-01-01,04:00,FKKD,26.0,25.0,101.2,000,00
2016-01-01,05:00,FKKD,26.0,25.0,101.2,000,00
2016-01-01,06:00,FKKD,26.0,24.0,101.2,000,00
2016-01-01,07:00,FKKD,26.0,25.0,101.4,000,00
2016-01-01,08:00,FKKD,28.0,25.0,101.4,110,02
2016-01-01,09:00,FKKD,29.0,25.0,101.4,000,00
2016-01-01,10:00,FKKD,30.0,25.0,101.3,200,01
2016-01-01,11:00,FKKD,32.0,22.0,101.2,160,02
2016-01-01,12:00,FKKD,33.0,22.0,101.1,220,04
2016-01-01,13:00,FKKD,33.0,23.0,101.0,230,07
2016-01-01,14:00,FKKD,33.0,22.0,100.9,210,06
2016-01-01,15:00,FKKD,32.0,22.0,100.9,260,08
2016-01-01,16:00,FKKD,31.0,23.0,100.9,270,08
2016-01-01,17:00,FKKD,30.0,24.0,100.9,270,04
2016-01-01,18:00,FKKD,29.0,25.0,101.0,240,03
2016-01-01,19:00,FKKD,28.0,25.0,101.0,180,02
2016-01-01,20:00,FKKD,27.0,25.0,101.1,000,00
2016-01-01,21:00,FKKD,26.0,25.0,101.2,000,00
2016-01-01,22:00,FKKD,26.0,25.0,101.2,000,00
2016-01-01,23:00,FKKD,26.0,25.0,101.2,160,02
2016-01-02,00:00,FKKD,26.0,25.0,101.2,000,00
2016-01-02,01:00,FKKD,26.0,25.0,101.1,000,00
2016-01-02,02:00,FKKD,26.0,25.0,101.1,000,00
2016-01-02,03:00,FKKD,26.0,25.0,101.1,150,02
2016-01-02,04:00,FKKD,26.0,25.0,101.1,000,00
2016-01-02,05:00,FKKD,26.0,25.0,101.2,080,02
2016-01-02,06:00,FKKD,26.0,25.0,101.2,000,00
2016-01-02,07:00,FKKD,26.0,25.0,101.3,000,00
2016-01-02,08:00,FKKD,28.0,25.0,101.3,150,02
2016-01-02,09:00,FKKD,31.0,23.0,101.3,170,03
2016-01-02,10:00,FKKD,32.0,25.0,101.3,180,03
2016-01-02,12:00,FKKD,32.0,26.0,101.1,040,02
2016-01-02,13:00,FKKD,33.0,25.0,101.0,270,07
2016-01-02,14:00,FKKD,33.0,25.0,100.9,240,09
2016-01-02,15:00,FKKD,32.0,25.0,100.8,290,09
2016-01-02,16:00,FKKD,31.0,25.0,100.8,250,05
2016-01-02,17:00,FKKD,30.0,26.0,100.8,290,04
2016-01-02,20:00,FKKD,28.0,25.0,101.0,290,05
2016-01-02,21:00,FKKD,28.0,26.0,101.1,290,04
2016-01-02,23:00,FKKD,28.0,26.0,101.1,000,00
2016-01-03,00:00,FKKD,27.0,26.0,101.0,000,00
2016-01-03,01:00,FKKD,26.0,25.0,101.0,000,00
2016-01-03,02:00,FKKD,26.0,25.0,101.0,000,00
2016-01-03,03:00,FKKD,26.0,25.0,101.0,000,00
2016-01-03,04:00,FKKD,26.0,25.0,101.1,000,00
2016-01-03,05:00,FKKD,26.0,25.0,101.1,000,00
2016-01-03,06:00,FKKD,26.0,24.0,101.1,050,02
2016-01-03,07:00,FKKD,26.0,24.0,101.2,030,05
2016-01-03,08:00,FKKD,28.0,24.0,101.2,360,02
2016-01-03,09:00,FKKD,29.0,24.0,101.2,070,07
2016-01-03,10:00,FKKD,30.0,24.0,101.2,360,02
2016-01-03,11:00,FKKD,32.0,23.0,101.1,090,01
2016-01-03,12:00,FKKD,34.0,24.0,101.0,070,04
2016-01-03,13:00,FKKD,35.0,22.0,100.8,160,04
2016-01-03,14:00,FKKD,35.0,23.0,100.7,240,05
2016-01-03,15:00,FKKD,35.0,23.0,100.7,260,06
2016-01-03,16:00,FKKD,33.0,24.0,100.7,250,06
2016-01-03,17:00,FKKD,31.0,25.0,100.7,250,05
2016-01-03,18:00,FKKD,30.0,26.0,100.9,260,04
2016-01-03,19:00,FKKD,29.0,25.0,101.0,290,02
2016-01-03,20:00,FKKD,28.0,26.0,101.1,000,00
2016-01-03,21:00,FKKD,27.0,25.0,101.0,000,00
2016-01-03,22:00,FKKD,26.0,25.0,101.0,000,00
2016-01-03,23:00,FKKD,26.0,25.0,101.0,000,00
2016-01-04,00:00,FKKD,27.0,26.0,101.0,150,02
2016-01-04,01:00,FKKD,27.0,25.0,101.0,000,00
2016-01-04,02:00,FKKD,26.0,25.0,100.9,000,00
2016-01-04,03:00,FKKD,26.0,25.0,100.9,000,00
2016-01-04,04:00,FKKD,26.0,25.0,100.9,140,02
2016-01-04,05:00,FKKD,26.0,25.0,101.0,000,00
2016-01-04,06:00,FKKD,26.0,25.0,101.1,000,00
2016-01-04,07:00,FKKD,27.0,25.0,101.2,140,02
2016-01-04,08:00,FKKD,29.0,25.0,101.3,000,00
2016-01-04,09:00,FKKD,29.0,25.0,101.3,300,07
2016-01-04,10:00,FKKD,30.0,25.0,101.2,300,02
2016-01-04,11:00,FKKD,32.0,25.0,101.1,300,02
2016-01-04,12:00,FKKD,32.0,25.0,101.0,160,02
2016-01-04,13:00,FKKD,33.0,24.0,100.8,290,04
2016-01-04,14:00,FKKD,33.0,25.0,100.7,240,06
2016-01-04,15:00,FKKD,31.0,24.0,100.7,250,06
2016-01-04,16:00,FKKD,30.0,25.0,100.7,250,07
2016-01-04,17:00,FKKD,30.0,25.0,100.8,230,04
2016-01-04,18:00,FKKD,29.0,25.0,100.8,250,02
2016-01-04,19:00,FKKD,28.0,25.0,100.9,280,02
2016-01-04,20:00,FKKD,28.0,25.0,101.0,000,00
2016-01-04,21:00,FKKD,26.0,25.0,101.0,000,00
2016-01-04,22:00,FKKD,26.0,25.0,101.1,000,00
2016-01-04,23:00,FKKD,27.0,25.0,101.1,280,02
2016-01-05,00:00,FKKD,26.0,25.0,101.1,000,00
2016-01-05,01:00,FKKD,27.0,25.0,101.0,200,02
2016-01-05,02:00,FKKD,26.0,25.0,101.0,000,00
