Time,Wind,Visibility,Temperature,Sea Level Pressure,Rain,Year,Month
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,YES,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,19/07,,NO,2016,07
,,,01/07,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
,,,,,NO,2016,07
312300Z,00000KT,6000.0,25/24,Q1014,YES,2016,07
312200Z,00000KT,6000.0,25/24,Q1014,YES,2016,07
312100Z,00000KT,9999.0,25/24,Q1013,YES,2016,07
312000Z,00000KT,9999.0,26/24,Q1013,YES,2016,07
311900Z,00000KT,9999.0,26/24,Q1012,YES,2016,07
311800Z,24006KT,9999.0,26/23,Q1011,YES,2016,07
311700Z,25005KT,9999.0,26/24,Q1011,YES,2016,07
311600Z,24006KT,9999.0,27/24,Q1011,NO,2016,07
311500Z,25006KT,9999.0,27/24,Q1011,NO,2016,07
311400Z,23004KT,9999.0,27/24,Q1012,NO,2016,07
311300Z,24007KT,6000.0,26/24,Q1012,YES,2016,07
311200Z,24006KT,7000.0,27/23,Q1013,YES,2016,07
311100Z,27005KT,9999.0,27/23,Q1014,YES,2016,07
