Time,Wind,Visibility,Temperature,Sea Level Pressure,Rain
312300Z,VRB01KT,7000,27/26,Q1010,NO
312200Z,VRB02KT,7000,28/25,Q1010,NO
312100Z,VRB03KT,7000,28/25,Q1010,NO
312000Z,VRB02KT,7000,28/25,Q1010,NO
311900Z,VRB04KT,7000,28/25,Q1009,NO
311800Z,VRB03KT,4000,29/25,Q1008,NO
311700Z,VRB03KT,4000,29/25,Q1007,NO
311600Z,VRB06KT,4000,30/26,Q1006,NO
311500Z,VRB05KT,4000,32/26,Q1006,NO
311400Z,VRB05KT,4000,32/26,Q1006,NO
311300Z,VRB04KT,4000,33/25,Q1007,NO
311200Z,VRB04KT,4000,33/25,Q1008,NO
311100Z,VRB04KT,4000,33/26,Q1009,NO
311000Z,VRB02KT,4000,31/25,Q1010,NO
310900Z,VRB02KT,4000,31/26,Q1010,NO
310800Z,VRB03KT,4000,29/26,Q1010,NO
310700Z,13003KT,4000,27/27,Q1010,NO
310600Z,11001KT,3200,26/26,Q1009,NO
310500Z,12002KT,6000,26/26,Q1009,NO
310400Z,VRB02KT,8000,27/27,Q1009,NO
310300Z,00000KT,8000,27/27,Q1009,NO
310200Z,14003KT,8000,27/27,Q1009,NO
310100Z,VRB02KT,8000,27/27,Q1009,NO
310000Z,13003KT,8000,27/27,Q1010,NO
302300Z,12002KT,8000,27/27,Q1010,NO
302200Z,00000KT,8000,27/27,Q1010,NO
302100Z,VRB02KT,8000,27/26,Q1010,NO
302000Z,VRB01KT,8000,28/26,Q1010,NO
301900Z,VRB03KT,8000,28/26,Q1008,NO
301800Z,VRB02KT,6000,29/26,Q1007,NO
301700Z,VRB03KT,4000,29/26,Q1007,NO
301600Z,VRB04KT,4000,30/25,Q1006,NO
301500Z,VRB05KT,4000,32/25,Q1006,NO
301400Z,VRB04KT,4000,33/24,Q1007,NO
301300Z,VRB04KT,4000,33/24,Q1008,NO
301200Z,VRB04KT,4000,33/24,Q1009,NO
301100Z,VRB03KT,4000,33/25,Q1010,NO
301000Z,VRB01KT,4000,31/25,Q1011,NO
300900Z,VRB02KT,6000,30/25,Q1011,NO
300800Z,VRB02KT,6000,28/25,Q1011,NO
300700Z,13002KT,4000,27/26,Q1011,NO
300600Z,00000KT,4500,26/26,Q1010,NO
300500Z,00000KT,6000,25/25,Q1009,NO
300300Z,00000KT,8000,25/25,Q1008,NO
300200Z,00000KT,9999,26/26,Q1009,NO
300100Z,00000KT,9999,25/25,Q1009,NO
300000Z,VRB02KT,9999,26/26,Q1010,NO
292300Z,11003KT,9999,26/26,Q1010,NO
292200Z,14003KT,9999,26/26,Q1010,NO
292100Z,13003KT,9999,26/26,Q1010,NO
292000Z,15001KT,9999,27/26,Q1010,NO
291900Z,00000KT,9999,27/25,Q1009,NO
291800Z,VRB02KT,9999,28/25,Q1008,NO
291700Z,VRB03KT,9999,29/25,Q1008,NO
291600Z,VRB03KT,9999,30/25,Q1008,NO
291500Z,VRB04KT,9999,30/25,Q1008,NO
291400Z,VRB05KT,9999,32/25,Q1008,NO
291300Z,VRB04KT,8000,32/25,Q1009,NO
291200Z,VRB04KT,8000,32/25,Q1010,NO
291100Z,19004KT,8000,31/25,Q1011,NO
291000Z,VRB03KT,8000,31/25,Q1012,NO
290900Z,VRB02KT,8000,30/25,Q1012,NO
290800Z,VRB03KT,7000,29/25,Q1012,NO
290700Z,VRB02KT,6000,28/24,Q1011,NO
290600Z,00000KT,7000,25/25,Q1011,NO
290500Z,00000KT,8000,25/25,Q1010,NO
290400Z,VRB02KT,9000,25/24,Q1009,NO
290300Z,VRB02KT,9000,27/26,Q1009,NO
290200Z,VRB02KT,9999,27/27,Q1009,NO
290100Z,12003KT,9999,27/27,Q1009,NO
290000Z,VRB01KT,9999,27/27,Q1010,NO
282300Z,VRB02KT,9999,27/27,Q1011,NO
282200Z,12002KT,9999,27/27,Q1010,NO
282100Z,VRB02KT,9999,28/26,Q1010,NO
282000Z,VRB03KT,9999,29/26,Q1010,NO
281900Z,VRB02KT,9999,29/26,Q1009,NO
281800Z,VRB03KT,9999,29/26,Q1007,NO
281600Z,VRB05KT,9999,31/26,Q1006,NO
281500Z,VRB05KT,9999,32/25,Q1006,NO
281400Z,VRB04KT,9999,34/25,Q1007,NO
281300Z,VRB04KT,9999,34/25,Q1008,NO
281200Z,VRB03KT,9999,34/25,Q1009,NO
281100Z,VRB03KT,9999,33/25,Q1010,NO
281000Z,VRB02KT,8000,31/26,Q1011,NO
280900Z,VRB01KT,8000,32/25,Q1012,NO
280800Z,VRB01KT,6000,31/26,Q1011,NO
280700Z,VRB01KT,4000,28/27,Q1011,NO
280600Z,VRB03KT,4000,26/26,Q1010,NO
280500Z,00000KT,6000,26/26,Q1009,NO
280400Z,00000KT,9999,26/26,Q1008,NO
280300Z,VRB02KT,9999,26/26,Q1008,NO
280200Z,VRB02KT,9999,26/26,Q1008,NO
280100Z,00000KT,9999,26/26,Q1008,NO
280000Z,13002KT,9999,26/26,Q1009,NO
272300Z,14002KT,9999,26/26,Q1010,NO
272200Z,VRB02KT,9999,26/26,Q1010,NO
272100Z,10002KT,9999,26/26,Q1010,NO
272000Z,00000KT,9999,26/26,Q1009,NO
271900Z,00000KT,9999,27/25,Q1009,NO
271800Z,VRB02KT,9999,28/25,Q1008,NO
271700Z,VRB04KT,9999,29/25,Q1007,NO
271600Z,VRB04KT,9999,31/24,Q1007,NO
271400Z,VRB04KT,9999,33/26,Q1007,NO
271300Z,VRB05KT,9999,33/26,Q1008,NO
271200Z,VRB04KT,9999,33/25,Q1010,NO
271100Z,VRB03KT,9999,32/25,Q1011,NO
271000Z,VRB03KT,9999,31/24,Q1012,NO
270900Z,VRB04KT,9999,30/24,Q1012,NO
270800Z,VRB03KT,8000,28/26,Q1012,NO
270700Z,VRB01KT,8000,26/26,Q1011,NO
270600Z,00000KT,9000,25/25,Q1010,YES
270500Z,00000KT,9000,26/26,Q1009,NO
270400Z,11004KT,9999,26/26,Q1009,YES
270300Z,VRB02KT,9999,26/26,Q1009,YES
270200Z,00000KT,9999,26/26,Q1009,NO
270100Z,12002KT,9999,26/26,Q1010,NO
270000Z,14002KT,9999,26/26,Q1010,NO
262300Z,00000KT,9999,26/26,Q1010,NO
262200Z,00000KT,9999,26/25,Q1011,NO
262100Z,00000KT,9999,26/26,Q1011,NO
262000Z,00000KT,9999,27/26,Q1010,NO
261900Z,VRB01KT,9999,27/26,Q1009,NO
261800Z,VRB02KT,9999,28/25,Q1008,NO
261700Z,VRB02KT,9999,29/25,Q1008,NO
261600Z,VRB03KT,9999,32/25,Q1007,NO
261500Z,VRB03KT,9999,33/24,Q1007,NO
261400Z,00000KT,9999,32/25,Q1007,NO
261300Z,VRB03KT,9999,32/23,Q1008,NO
261200Z,VRB03KT,9999,33/23,Q1009,NO
261100Z,13003KT,9999,30/23,Q1010,NO
261000Z,09004KT,9999,30/23,Q1012,NO
260900Z,VRB03KT,9999,29/23,Q1012,NO
260800Z,VRB03KT,8000,28/23,Q1012,NO
260700Z,VRB02KT,4200,26/24,Q1011,NO
260600Z,VRB01KT,4000,24/24,Q1010,NO
260500Z,VRB02KT,7000,24/24,Q1010,NO
260400Z,VRB03KT,9999,24/24,Q1010,NO
260300Z,02003KT,9999,24/24,Q1010,NO
260200Z,VRB02KT,9999,24/24,Q1010,NO
260100Z,06002KT,9999,25/25,Q1011,NO
260000Z,00000KT,9999,24/24,Q1011,NO
252300Z,00000KT,9999,24/24,Q1012,NO
252200Z,00000KT,9999,25/25,Q1012,NO
252100Z,00000KT,9999,25/25,Q1012,NO
252000Z,00000KT,9999,25/25,Q1012,NO
251900Z,00000KT,9999,25/24,Q1011,NO
251800Z,VRB02KT,9999,26/23,Q1010,NO
251700Z,VRB02KT,9999,28/23,Q1010,NO
251600Z,VRB03KT,9999,29/24,Q1010,NO
251500Z,21004KT,9999,31/23,Q1009,NO
251400Z,VRB03KT,9999,31/24,Q1010,NO
251300Z,VRB03KT,9999,31/24,Q1011,NO
251200Z,VRB02KT,9999,31/23,Q1011,NO
251100Z,VRB02KT,9999,31/23,Q1012,NO
251000Z,12003KT,9999,28/23,Q1014,NO
250900Z,VRB03KT,8000,26/22,Q1014,NO
250700Z,VRB01KT,4000,23/23,Q1012,NO
250600Z,00000KT,3500,22/22,Q1011,NO
250500Z,00000KT,8000,22/22,Q1011,NO
250400Z,VRB01KT,8000,22/22,Q1011,NO
250300Z,VRB01KT,8000,23/23,Q1010,NO
250200Z,09004KT,8000,22/22,Q1011,NO
