Time,Wind,Visibility,Temperature,Sea Level Pressure,Rain,Year,Month
312200Z,VRB02KT,8000.0,27/26,Q1010,NO,2021,01
312000Z,VRB01KT,8000.0,28/26,Q1010,NO,2021,01
311900Z,VRB02KT,7000.0,28/26,Q1009,NO,2021,01
311800Z,VRB03KT,6000.0,29/25,Q1008,NO,2021,01
311700Z,21004KT,6000.0,30/24,Q1007,NO,2021,01
311600Z,VRB04KT,6000.0,31/24,Q1007,NO,2021,01
311500Z,VRB06KT,6000.0,32/24,Q1006,NO,2021,01
311400Z,VRB04KT,4000.0,33/24,Q1006,NO,2021,01
311300Z,VRB04KT,4000.0,33/24,Q1008,NO,2021,01
311200Z,VRB03KT,4000.0,33/24,Q1008,NO,2021,01
311100Z,VRB03KT,4000.0,33/24,Q1009,NO,2021,01
311000Z,VRB03KT,4000.0,32/24,Q1010,NO,2021,01
310900Z,01003KT,2500.0,30/25,Q1010,NO,2021,01
310800Z,34004KT,2000.0,28/25,Q1010,NO,2021,01
310600Z,VRB01KT,2000.0,26/26,Q1010,NO,2021,01
310500Z,VRB03KT,4000.0,26/25,Q1009,NO,2021,01
310400Z,VRB01KT,4000.0,26/26,Q1009,YES,2021,01
310300Z,08002KT,6000.0,26/26,Q1008,NO,2021,01
310200Z,VRB02KT,8000.0,26/26,Q1008,NO,2021,01
310100Z,11002KT,9999.0,26/26,Q1009,NO,2021,01
310000Z,VRB02KT,9999.0,27/27,Q1010,NO,2021,01
302300Z,00000KT,9999.0,26/26,Q1010,NO,2021,01
302200Z,VRB01KT,9999.0,27/26,Q1010,NO,2021,01
302100Z,VRB02KT,9999.0,27/26,Q1010,NO,2021,01
302000Z,VRB02KT,9999.0,28/25,Q1009,NO,2021,01
301900Z,VRB02KT,9999.0,28/25,Q1008,NO,2021,01
301800Z,VRB03KT,8000.0,28/24,Q1008,NO,2021,01
301700Z,VRB04KT,8000.0,29/25,Q1007,NO,2021,01
301600Z,VRB04KT,8000.0,31/25,Q1007,NO,2021,01
301500Z,VRB05KT,8000.0,33/24,Q1007,NO,2021,01
301400Z,VRB04KT,8000.0,33/24,Q1007,NO,2021,01
301300Z,VRB04KT,8000.0,34/24,Q1008,NO,2021,01
301200Z,VRB03KT,7000.0,33/24,Q1009,NO,2021,01
301100Z,VRB03KT,7000.0,32/24,Q1010,NO,2021,01
301000Z,35004KT,8000.0,31/24,Q1011,NO,2021,01
300900Z,VRB05KT,7000.0,31/24,Q1011,NO,2021,01
300700Z,00000KT,2800.0,27/27,Q1010,NO,2021,01
300600Z,VRB01KT,2800.0,25/25,Q1010,NO,2021,01
300500Z,VRB02KT,7000.0,26/26,,NO,2021,01
300100Z,08001KT,9999.0,26/26,Q1010,NO,2021,01
300000Z,12002KT,9999.0,26/26,Q1010,NO,2021,01
292300Z,VRB02KT,9999.0,27/26,Q1011,NO,2021,01
292100Z,VRB02KT,9999.0,28/25,Q1011,NO,2021,01
292000Z,VRB02KT,8000.0,28/25,Q1010,NO,2021,01
291900Z,VRB02KT,8000.0,28/25,Q1009,NO,2021,01
291800Z,VRB03KT,8000.0,28/25,Q1008,NO,2021,01
291700Z,VRB04KT,8000.0,29/25,Q1007,NO,2021,01
291600Z,VRB04KT,8000.0,31/25,Q1007,NO,2021,01
291500Z,VRB04KT,8000.0,32/25,Q1007,NO,2021,01
291400Z,VRB05KT,8000.0,33/25,Q1007,NO,2021,01
291300Z,VRB04KT,8000.0,33/25,Q1008,NO,2021,01
291200Z,VRB04KT,8000.0,33/25,Q1010,NO,2021,01
291100Z,VRB03KT,8000.0,31/25,Q1011,NO,2021,01
291000Z,VRB03KT,8000.0,32/25,Q1012,NO,2021,01
290900Z,VRB01KT,6000.0,29/26,Q1012,NO,2021,01
290800Z,11004KT,6000.0,28/26,Q1012,NO,2021,01
290700Z,VRB02KT,6000.0,26/26,Q1011,NO,2021,01
290600Z,00000KT,4000.0,25/25,Q1011,NO,2021,01
290500Z,13002KT,8000.0,25/25,Q1010,NO,2021,01
290400Z,12002KT,8000.0,25/25,Q1010,NO,2021,01
290300Z,11003KT,9999.0,26/26,Q1009,NO,2021,01
290100Z,VRB01KT,9999.0,26/26,Q1010,NO,2021,01
290000Z,13002KT,9999.0,27/26,Q1010,NO,2021,01
282300Z,13002KT,9999.0,27/26,Q1011,NO,2021,01
282200Z,VRB02KT,9999.0,28/26,Q1011,NO,2021,01
282100Z,VRB02KT,9999.0,28/26,Q1011,NO,2021,01
282000Z,VRB02KT,9999.0,28/25,Q1010,NO,2021,01
281900Z,VRB03KT,9999.0,28/25,Q1009,NO,2021,01
281800Z,VRB03KT,9999.0,28/25,Q1008,NO,2021,01
281700Z,VRB04KT,9999.0,29/25,Q1007,NO,2021,01
281600Z,VRB05KT,8000.0,30/25,Q1007,NO,2021,01
281500Z,VRB05KT,8000.0,31/25,Q1006,NO,2021,01
281400Z,VRB06KT,8000.0,33/26,Q1007,NO,2021,01
281300Z,VRB06KT,8000.0,33/25,Q1007,NO,2021,01
281200Z,VRB04KT,8000.0,33/25,Q1008,NO,2021,01
281100Z,VRB02KT,7000.0,32/24,Q1009,NO,2021,01
281000Z,VRB03KT,7000.0,31/25,Q1010,NO,2021,01
280900Z,VRB02KT,4800.0,30/25,Q1011,NO,2021,01
280800Z,VRB02KT,2800.0,30/26,Q1010,NO,2021,01
280700Z,VRB02KT,2000.0,26/26,Q1010,NO,2021,01
280600Z,VRB02KT,2000.0,25/25,Q1010,NO,2021,01
280500Z,00000KT,8000.0,24/24,Q1009,NO,2021,01
280400Z,32002KT,9999.0,25/25,Q1009,NO,2021,01
280300Z,29004KT,9999.0,26/26,Q1009,NO,2021,01
280200Z,00000KT,9999.0,26/26,Q1009,NO,2021,01
