Time,Wind,Visibility,Temperature,Sea Level Pressure,Rain,Year,Month
301500Z,VRB04KT,9999,30/25,Q1008,NO,2021,11
301200Z,VRB04KT,9999,31/26,Q1010,NO,2021,11
300300Z,00000KT,8000,25/25,Q1009,NO,2021,11
300200Z,00000KT,9999,25/25,Q1009,NO,2021,11
300100Z,VRB01KT,9999,25/24,Q1010,NO,2021,11
300000Z,00000KT,9999,26/24,Q1010,YES,2021,11
282100Z,VRB01KT,9999,27/25,Q1010,NO,2021,11
280700Z,VRB01KT,7000,28/25,Q1011,NO,2021,11
280600Z,00000KT,8000,24/23,Q1011,NO,2021,11
280500Z,11002KT,9999,24/23,Q1011,NO,2021,11
280400Z,06002KT,9999,24/23,Q1010,NO,2021,11
280300Z,VRB02KT,9999,24/23,Q1010,NO,2021,11
280200Z,00000KT,9999,25/24,Q1010,NO,2021,11
280100Z,VRB02KT,9999,26/25,Q1010,NO,2021,11
280000Z,VRB03KT,9999,26/25,Q1010,NO,2021,11
272300Z,VRB02KT,9999,26/24,Q1011,NO,2021,11
272200Z,12002KT,9999,26/26,Q1011,NO,2021,11
272100Z,00000KT,9999,27/25,Q1011,NO,2021,11
272000Z,VRB02KT,9999,27/25,Q1011,YES,2021,11
271900Z,17003KT,9999,28/25,Q1011,YES,2021,11
271800Z,VRB04KT,9999,28/25,Q1010,NO,2021,11
271700Z,VRB04KT,9999,29/25,Q1008,NO,2021,11
271600Z,VRB05KT,9999,31/25,Q1007,NO,2021,11
271500Z,VRB05KT,9999,32/26,Q1007,NO,2021,11
271400Z,VRB05KT,9999,32/25,Q1007,NO,2021,11
271300Z,VRB03KT,9999,33/26,Q1008,NO,2021,11
271200Z,VRB03KT,9999,33/25,Q1009,NO,2021,11
271100Z,VRB02KT,9999,33/26,Q1009,NO,2021,11
271000Z,VRB02KT,9999,32/26,Q1011,NO,2021,11
270900Z,VRB02KT,7000,31/25,Q1011,NO,2021,11
270800Z,VRB02KT,2000,29/26,Q1011,NO,2021,11
270700Z,VRB02KT,1800,27/26,Q1011,NO,2021,11
270600Z,VRB02KT,2500,25/25,Q1011,NO,2021,11
270500Z,00000KT,7000,25/25,Q1010,NO,2021,11
270400Z,00000KT,8000,25/25,Q1010,NO,2021,11
270300Z,VRB02KT,9999,26/26,Q1010,NO,2021,11
270000Z,VRB02KT,9999,26/25,Q1010,NO,2021,11
262300Z,VRB02KT,9999,27/26,Q1011,NO,2021,11
262200Z,VRB02KT,9999,26/26,Q1011,NO,2021,11
262100Z,VRB01KT,9999,26/25,Q1011,NO,2021,11
262000Z,00000KT,9999,26/25,Q1010,NO,2021,11
261900Z,VRB01KT,9999,27/25,Q1009,NO,2021,11
261700Z,VRB02KT,9999,29/25,Q1008,NO,2021,11
260100Z,VRB02KT,9999,25/25,Q1010,NO,2021,11
260000Z,VRB01KT,9999,26/25,Q1010,NO,2021,11
252200Z,VRB01KT,9999,26/25,Q1011,NO,2021,11
251100Z,VRB03KT,9999,32/25,Q1010,NO,2021,11
250900Z,VRB01KT,6000,29/25,Q1011,YES,2021,11
250500Z,VRB02KT,9999,25/24,Q1009,NO,2021,11
250400Z,VRB01KT,9999,26/25,Q1009,NO,2021,11
250300Z,VRB02KT,9999,26/25,Q1009,NO,2021,11
250200Z,00000KT,9999,26/25,Q1009,NO,2021,11
250100Z,00000KT,9999,26/25,Q1009,NO,2021,11
250000Z,30004KT,9999,26/25,Q1009,NO,2021,11
241800Z,VRB01KT,9999,27/25,Q1008,NO,2021,11
241700Z,VRB02KT,9999,28/25,Q1008,NO,2021,11
241600Z,VRB04KT,9999,31/25,Q1008,NO,2021,11
241500Z,VRB04KT,9999,32/25,Q1008,NO,2021,11
241000Z,20004KT,8000,30/25,Q1012,NO,2021,11
240300Z,00000KT,9999,24/24,Q1010,NO,2021,11
231900Z,00000KT,9999,25/24,Q1012,NO,2021,11
231700Z,VRB01KT,9999,27/25,Q1010,NO,2021,11
230200Z,00000KT,9999,25/25,Q1010,NO,2021,11
230000Z,00000KT,9999,26/25,Q1011,NO,2021,11
220900Z,VRB03KT,9999,30/25,Q1011,NO,2021,11
