,Year,Month,Day,Hour,Temp,DP,RH,Wind Speed,Visibility,Rain,Pressure,Hour_int,Minute,Datetime
0,2024,1,1,0000,27,27,100.0,2,8000.0,NO,1011,0,0,2024-01-01 00:00:00
1,2024,1,1,0030,28,27,94.3,2,8000.0,NO,1011,0,30,2024-01-01 00:30:00
2,2024,1,1,0100,28,26,88.9,2,8000.0,YES,1011,1,0,2024-01-01 01:00:00
3,2024,1,1,0200,27,26,94.3,0,8000.0,YES,1010,2,0,2024-01-01 02:00:00
4,2024,1,1,0300,26,25,94.2,0,8000.0,NO,1010,3,0,2024-01-01 03:00:00
5,2024,1,1,0400,26,26,100.0,0,8000.0,NO,1011,4,0,2024-01-01 04:00:00
6,2024,1,1,0500,26,26,100.0,2,4000.0,NO,1011,5,0,2024-01-01 05:00:00
7,2024,1,1,0530,26,26,100.0,2,4000.0,NO,1011,5,30,2024-01-01 05:30:00
8,2024,1,1,0600,26,26,100.0,0,4000.0,NO,1012,6,0,2024-01-01 06:00:00
9,2024,1,1,0630,26,26,100.0,0,3500.0,NO,1012,6,30,2024-01-01 06:30:00
10,2024,1,1,0700,28,27,94.3,2,3500.0,NO,1012,7,0,2024-01-01 07:00:00
11,2024,1,1,0800,29,26,83.9,3,4500.0,NO,1013,8,0,2024-01-01 08:00:00
12,2024,1,1,0900,30,27,84.0,4,4800.0,NO,1013,9,0,2024-01-01 09:00:00
13,2024,1,1,0930,31,27,79.3,4,6000.0,NO,1012,9,30,2024-01-01 09:30:00
14,2024,1,1,1000,32,27,74.9,3,7000.0,NO,1012,10,0,2024-01-01 10:00:00
15,2024,1,1,1100,34,26,63.1,2,8000.0,NO,1011,11,0,2024-01-01 11:00:00
16,2024,1,1,1200,32,27,74.9,2,9999.0,NO,1010,12,0,2024-01-01 12:00:00
17,2024,1,1,1230,33,26,66.8,2,9999.0,NO,1010,12,30,2024-01-01 12:30:00
18,2024,1,1,1300,35,26,59.7,2,9999.0,NO,1009,13,0,2024-01-01 13:00:00
19,2024,1,1,1330,33,27,70.8,4,9999.0,NO,1009,13,30,2024-01-01 13:30:00
20,2024,1,1,1400,34,27,66.9,4,9999.0,NO,1009,14,0,2024-01-01 14:00:00
21,2024,1,1,1430,34,27,66.9,4,9999.0,NO,1009,14,30,2024-01-01 14:30:00
22,2024,1,1,1500,33,26,66.8,4,9999.0,NO,1009,15,0,2024-01-01 15:00:00
23,2024,1,1,1530,32,27,74.9,4,9999.0,NO,1009,15,30,2024-01-01 15:30:00
24,2024,1,1,1600,31,27,79.3,3,9999.0,NO,1009,16,0,2024-01-01 16:00:00
25,2024,1,1,1630,30,27,84.0,2,9999.0,NO,1009,16,30,2024-01-01 16:30:00
26,2024,1,1,1700,30,27,84.0,2,9999.0,NO,1009,17,0,2024-01-01 17:00:00
27,2024,1,1,1800,29,27,89.0,2,9999.0,NO,1010,18,0,2024-01-01 18:00:00
28,2024,1,1,1900,28,26,88.9,0,9999.0,NO,1011,19,0,2024-01-01 19:00:00
29,2024,1,2,0130,26,26,100.0,1,9999.0,NO,1011,1,30,2024-01-02 01:30:00
30,2024,1,2,0200,26,26,100.0,2,9999.0,NO,1011,2,0,2024-01-02 02:00:00
31,2024,1,2,0230,26,26,100.0,1,9999.0,NO,1011,2,30,2024-01-02 02:30:00
32,2024,1,2,0500,27,26,94.3,3,8000.0,NO,1012,5,0,2024-01-02 05:00:00
33,2024,1,2,0600,26,26,100.0,0,3500.0,NO,1012,6,0,2024-01-02 06:00:00
34,2024,1,2,0700,27,26,94.3,1,3500.0,NO,1013,7,0,2024-01-02 07:00:00
35,2024,1,2,0800,30,26,79.2,3,4000.0,NO,1014,8,0,2024-01-02 08:00:00
36,2024,1,2,0900,31,26,74.8,1,4000.0,NO,1013,9,0,2024-01-02 09:00:00
37,2024,1,2,1000,32,26,70.6,3,4000.0,NO,1013,10,0,2024-01-02 10:00:00
38,2024,1,2,1100,32,26,70.6,2,4000.0,NO,1012,11,0,2024-01-02 11:00:00
39,2024,1,2,1200,33,27,70.8,3,4000.0,NO,1011,12,0,2024-01-02 12:00:00
40,2024,1,2,1300,34,26,63.1,4,4000.0,NO,1011,13,0,2024-01-02 13:00:00
41,2024,1,2,1400,33,26,66.8,5,4500.0,NO,1010,14,0,2024-01-02 14:00:00
42,2024,1,2,1430,32,26,70.6,5,4500.0,NO,1010,14,30,2024-01-02 14:30:00
43,2024,1,2,1500,31,27,79.3,4,6000.0,NO,1009,15,0,2024-01-02 15:00:00
44,2024,1,2,1600,30,26,79.2,3,6000.0,NO,1009,16,0,2024-01-02 16:00:00
45,2024,1,2,1630,30,26,79.2,2,7000.0,NO,1009,16,30,2024-01-02 16:30:00
46,2024,1,2,1700,29,26,83.9,3,7000.0,NO,1010,17,0,2024-01-02 17:00:00
47,2024,1,2,1730,29,26,83.9,2,7000.0,NO,1010,17,30,2024-01-02 17:30:00
48,2024,1,2,1800,29,26,83.9,2,7000.0,NO,1011,18,0,2024-01-02 18:00:00
49,2024,1,2,1900,28,26,88.9,1,6000.0,NO,1012,19,0,2024-01-02 19:00:00
50,2024,1,2,1930,28,26,88.9,0,6000.0,NO,1012,19,30,2024-01-02 19:30:00
51,2024,1,2,2000,27,26,94.3,1,6000.0,NO,1012,20,0,2024-01-02 20:00:00
52,2024,1,2,2100,27,26,94.3,2,6000.0,NO,1013,21,0,2024-01-02 21:00:00
